id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-selosa
2,4.9,3,2.9,0.2,Iris-selosa
3,4.7,3.2,1.1,0.2,Iris-selosa
4,4.6,3.1,1,0.2,Iris-selosa
5,6.06,3.6,1.5,0.2,Iris-selosa
6,5.64,4.1,2,0.4,Iris-selosa
7,4.86,3.5,1.4,0.3,Iris-selosa
8,5.11,3,0.9,0.2,Iris-selosa
9,4.56,3.2,1.1,0.2,Iris-selosa
10,4.60,3.1,1,0.1,Iris-selosa
11,3.27,3.6,1.5,0.2,Iris-selosa
12,3.37,4.1,2,0.1,Iris-selosa
13,5.34,3.2,1.1,0.2,Iris-selosa
14,5.06,3.1,1,0.2,Iris-selosa
15,3.51,3.6,1.5,0.2,Iris-selosa
16,4.02,4.1,2,0.2,Iris-selosa
17,5.71,3.5,1.4,0.2,Iris-selosa
18,5.37,3,0.9,0.4,Iris-selosa
19,3.86,3.2,1.1,0.3,Iris-selosa
20,4.40,3.1,1,0.2,Iris-selosa
21,5.24,3.6,1.5,0.2,Iris-selosa
22,5.87,4.1,2,0.1,Iris-selosa
23,4.29,4,1.9,0.2,Iris-selosa
24,5.33,3.5,1.4,0.1,Iris-selosa
25,6.52,3,0.9,0.2,Iris-selosa
26,4.73,3.4,1.3,0.2,Iris-selosa
27,2.77,2.9,0.8,0.2,Iris-selosa
28,5.71,3.1,1,0.2,Iris-selosa
29,6.65,3,0.9,0.2,Iris-selosa
30,5.03,3.5,1.4,0.4,Iris-selosa
31,3.75,4,1.9,0.3,Iris-selosa
32,6.51,3.4,1.3,0.2,Iris-selosa
33,6.07,2.9,0.8,0.2,Iris-selosa
34,5.35,3.1,1,0.1,Iris-selosa
35,4.73,3,0.9,0.2,Iris-selosa
36,6.53,3.5,1.4,0.1,Iris-selosa
37,6.61,4,1.9,0.2,Iris-selosa
38,6.04,3.1,1,0.2,Iris-selosa
39,4.76,3,0.9,0.2,Iris-selosa
40,6.90,3.5,1.4,0.2,Iris-selosa
41,8.29,4,1.9,0.2,Iris-selosa
42,6.89,3.4,1.3,0.4,Iris-selosa
43,5.49,2.9,0.8,0.3,Iris-selosa
44,5.24,3.1,1,0.2,Iris-selosa
45,5.1,3,0.9,0.2,Iris-selosa
46,4.9,3.5,1.4,0.1,Iris-selosa
47,4.7,4,1.9,0.2,Iris-selosa
48,4.6,3.9,1.8,0.1,Iris-selosa
49,6.06,3.4,1.3,0.2,Iris-selosa
50,5.64,2.9,0.8,0.2,Iris-selosa
51,4.86,3.3,1.2,0.2,Iris-selosa
52,5.11,2.8,0.7,0.2,Iris-selosa
53,4.56,3.3,1.2,0.2,Iris-selosa
54,4.60,2.8,0.7,0.4,Iris-selosa
55,3.27,3,0.9,0.3,Iris-selosa
56,3.37,2.9,0.8,0.2,Iris-selosa
57,5.34,3.4,1.3,0.2,Iris-selosa
58,5.06,3.9,1.8,0.1,Iris-selosa
59,3.51,3.3,1.2,0.2,Iris-selosa
60,4.02,2.8,0.7,0.1,Iris-selosa
61,5.71,3,0.9,0.2,Iris-selosa
62,5.37,2.9,0.8,0.2,Iris-selosa
63,3.86,3.4,1.3,0.2,Iris-selosa
64,4.40,3.9,1.8,0.2,Iris-selosa
65,5.24,3,0.9,0.2,Iris-selosa
66,5.87,2.9,0.8,0.4,Iris-selosa
67,4.29,3.4,1.3,0.3,Iris-selosa
68,5.33,3.9,1.8,0.2,Iris-selosa
69,6.52,3.3,1.2,0.2,Iris-selosa
70,4.73,2.8,0.7,0.1,Iris-selosa
71,2.77,3,0.9,0.2,Iris-selosa
72,5.71,2.9,0.8,0.1,Iris-selosa
73,6.65,3.4,1.3,0.2,Iris-selosa
74,5.03,3.9,1.8,0.2,Iris-selosa
75,3.75,3.8,1.7,0.2,Iris-selosa
76,6.51,3.3,1.2,0.2,Iris-selosa
77,6.07,2.8,0.7,0.2,Iris-selosa
78,5.35,3.2,1.1,0.4,Iris-selosa
79,4.73,2.7,0.6,0.3,Iris-selosa
80,6.53,2.9,0.8,0.2,Iris-selosa
81,6.61,2.8,0.7,0.2,Iris-selosa
82,6.04,3.3,1.2,0.1,Iris-selosa
83,4.76,3.8,1.7,0.2,Iris-selosa
84,6.90,3.2,1.1,0.1,Iris-selosa
85,8.29,2.7,0.6,0.2,Iris-selosa
86,6.89,2.9,0.8,0.2,Iris-selosa
87,5.49,2.8,0.7,0.2,Iris-selosa
88,5.24,3.3,1.2,0.2,Iris-selosa
89,5.1,3.8,1.7,0.2,Iris-selosa
90,4.9,2.9,0.8,0.4,Iris-selosa
91,4.7,2.8,0.7,0.3,Iris-selosa
92,4.6,3.3,1.2,0.2,Iris-selosa
93,6.06,3.8,1.7,0.2,Iris-selosa
94,5.64,3.2,1.1,0.1,Iris-selosa
95,4.86,2.7,0.6,0.2,Iris-selosa
96,5.11,2.9,0.8,0.1,Iris-selosa
97,4.56,2.8,0.7,0.2,Iris-selosa
98,4.60,3.3,1.2,0.1,Iris-selosa
99,3.27,3.8,1.7,0.2,Iris-selosa
100,3.37,3.7,1.6,0.1,Iris-selosa
